rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
8296	C24H40O6	[M + Na]+	C24H40O6	7.564530644077128	5.05087107345137	2.513659570625758	3	0.28297362110311747	-2.3791366642812766	2.3791366642812766	-0.3931247105271557		447.27153	657.6009750366211	9422_CCE1706_MZmine3_SIRIUS_fixed_39447
8297	C25H47NO6	[M + Na]+	C25H47NO6	7.56264663226258	3.7611685463902944	3.8014780858722856	2	0.628930817610063	0.8634306790503803	0.8634306790503803	0.6606342838535421		480.32988	635.5059814453125	8960_CCE1706_MZmine3_SIRIUS_fixed_38267
8298	C17H27NO2	[M + H]+	C17H27NO2	7.53762257436519	7.53762257436519	0.0	6	0.9952167023994992	1.410502294926375	1.4416976544636029	-1.8105575754003853		278.21095	666.0976382387862	9554_CCE1706_MZmine3_SIRIUS_fixed_39720
8299	C19H40O4	[M + Na]+	C19H40O4	7.445474144222112	3.4956021342140966	3.949872010008016	1	0.0	0.05499832523912907	0.05499832523912907	-0.04460714653180139		355.28186	667.5777626037598	9572_CCE1706_MZmine3_SIRIUS_fixed_39760
8300	C24H46O11	[M + Na]+	C24H46O11	7.38810325012555	7.38810325012555	0.0	3	0.30089628681177977	-0.06186482522127768	0.37423413204298317	0.009655131346541904		533.29324	427.56649911403656	5022_CCE1706_MZmine3_SIRIUS_fixed_25586
8301	C11H6N4OS	[M + Na]+	C11H6N4OS	7.38707823044706	7.38707823044706	0.0	6	0.046392464617517795	-0.40080032574943514	0.7482219003224304	-0.19216759664749108		265.01540	32.9828316100717	41_CCE1706_MZmine3_SIRIUS_fixed_166
8302	C20H40O9	[M + Na]+	C20H40O9	7.385029763405143	3.4735333083054942	3.9114964550996487	1	0.0	0.32741810738110333	0.32741810738110333	0.22135536579397502		447.25655	352.3960018157959	3840_CCE1706_MZmine3_SIRIUS_fixed_19083
8303	C14H20O2	[M + Na]+	C14H20O2	7.372081351038857	7.372081351038857	0.0	5	0.6338028169014085	-0.20803251896967065	0.22190002292479785	-0.15508526217722324		243.13551	610.9055185317993	8383_CCE1706_MZmine3_SIRIUS_fixed_36419
8304	C23H42O5	[M + Na]+	C23H42O5	7.358871441340491	3.4895568090562796	3.8693146322842114	1	0.0	0.13020860690620215	0.13020860690620215	0.31369039715703767		421.29258	647.1129941940308	9222_CCE1706_MZmine3_SIRIUS_fixed_38993
8305	C16H30O9	[M + Na]+	C16H30O9	7.329270477436866	3.47996518212658	3.849305295310286	1	0.0	0.24862616818021896	0.24862616818021896	0.5708710276769479		389.17843	189.48691740632057	1310_CCE1706_MZmine3_SIRIUS_fixed_4142
