name1,name2,name3,name4
P1706_T2_09_020_3_D,P1706_096,CCE_P1706_144,CCE_P1706_144_MSMS
P1706_T2_09_010_2_D,P1706_097,CCE_P1706_145,CCE_P1706_145_MSMS
P1706_T2_09_000_1_D,P1706_098,CCE_P1706_146,CCE_P1706_146_MSMS
P1706_T2_11_100_6_E,P1706_099,CCE_P1706_147,CCE_P1706_147_MSMS
P1706_T2_11_075_5_E,P1706_100,CCE_P1706_148,CCE_P1706_148_MSMS
P1706_T2_11_030_4_E,P1706_101,CCE_P1706_149,CCE_P1706_149_MSMS
P1706_T2_11_020_3_E,P1706_102,CCE_P1706_150,CCE_P1706_150_MSMS
P1706_T2_11_010_2_E,P1706_103,CCE_P1706_151,CCE_P1706_151_MSMS
P1706_T2_11_000_1_E,P1706_104,CCE_P1706_152,CCE_P1706_152_MSMS
P1706_C3_1_150_6_C,P1706_105,CCE_P1706_153,CCE_P1706_153_MSMS
P1706_C3_1_150_6_C2,P1706_105,CCE_P1706_154,CCE_P1706_154_MSMS
P1706_C3_1_100_5_C,P1706_106,CCE_P1706_155,CCE_P1706_155_MSMS
P1706_C3_1_100_5_C2,P1706_106,CCE_P1706_156,CCE_P1706_156_MSMS
P1706_C3_1_050_4_C,P1706_107,CCE_P1706_157,CCE_P1706_157_MSMS
P1706_C3_1_050_4_C2,P1706_107,CCE_P1706_158,CCE_P1706_158_MSMS
P1706_C3_1_020_3_C,P1706_108,CCE_P1706_159,CCE_P1706_159_MSMS
P1706_C3_1_020_3_C2,P1706_108,CCE_P1706_160,CCE_P1706_160_MSMS
P1706_C3_1_010_2_C,P1706_109,CCE_P1706_161,CCE_P1706_161_MSMS
P1706_C3_1_010_2_C2,P1706_109,CCE_P1706_162,CCE_P1706_162_MSMS
P1706_C3_1_000_1_C,P1706_110,CCE_P1706_163,CCE_P1706_163_MSMS
P1706_C3_1_000_1_C2,P1706_110,CCE_P1706_164,CCE_P1706_164_MSMS
P1706_C3_2_150_6_C,P1706_111,CCE_P1706_165,CCE_P1706_165_MSMS
P1706_C3_2_150_6_C2,P1706_111,CCE_P1706_166,CCE_P1706_166_MSMS
P1706_C3_2_100_5_C,P1706_112,CCE_P1706_167,CCE_P1706_167_MSMS
P1706_C3_2_100_5_C2,P1706_112,CCE_P1706_168,CCE_P1706_168_MSMS
P1706_C3_2_060_4_C,P1706_113,CCE_P1706_169,CCE_P1706_169_MSMS
P1706_C3_2_060_4_C2,P1706_113,CCE_P1706_170,CCE_P1706_170_MSMS
P1706_C3_2_020_3_C,P1706_114,CCE_P1706_171,CCE_P1706_171_MSMS
P1706_C3_2_020_3_C2,P1706_114,CCE_P1706_172,CCE_P1706_172_MSMS
P1706_C3_2_010_2_C,P1706_115,CCE_P1706_173,CCE_P1706_173_MSMS
P1706_C3_2_010_2_C2,P1706_115,CCE_P1706_174,CCE_P1706_174_MSMS
P1706_C3_2_002_1_C,P1706_116,CCE_P1706_175,CCE_P1706_175_MSMS
P1706_C3_2_002_1_C2,P1706_116,CCE_P1706_176,CCE_P1706_176_MSMS
P1706_C3_3_150_6_C,P1706_117,CCE_P1706_177,CCE_P1706_177_MSMS
P1706_C3_3_150_6_C2,P1706_117,CCE_P1706_178,CCE_P1706_178_MSMS
P1706_C3_3_100_5_C,P1706_118,CCE_P1706_179,CCE_P1706_179_MSMS
P1706_C3_3_100_5_C2,P1706_118,CCE_P1706_180,CCE_P1706_180_MSMS
P1706_C3_3_060_4_C,P1706_119,CCE_P1706_181,CCE_P1706_181_MSMS
P1706_C3_3_060_4_C2,P1706_119,CCE_P1706_182,CCE_P1706_182_MSMS
P1706_C3_3_020_3_C,P1706_120,CCE_P1706_183,CCE_P1706_183_MSMS
P1706_C3_3_020_3_C2,P1706_120,CCE_P1706_184,CCE_P1706_184_MSMS
P1706_C3_3_010_2_C,P1706_121,CCE_P1706_185,CCE_P1706_185_MSMS
P1706_C3_3_010_2_C2,P1706_121,CCE_P1706_186,CCE_P1706_186_MSMS
P1706_C3_3_000_1_C,P1706_122,CCE_P1706_187,CCE_P1706_187_MSMS
P1706_C3_3_000_1_C2,P1706_122,CCE_P1706_188,CCE_P1706_188_MSMS
P1706_T3_01_120_6_B,P1706_123,CCE_P1706_189,CCE_P1706_189_MSMS
P1706_T3_01_100_5_B,P1706_124,CCE_P1706_190,CCE_P1706_190_MSMS
P1706_T3_01_050_4_B,P1706_125,CCE_P1706_191,CCE_P1706_191_MSMS
P1706_T3_01_035_3_B,P1706_126,CCE_P1706_192,CCE_P1706_192_MSMS
P1706_T3_01_020_2_B,P1706_127,CCE_P1706_193,CCE_P1706_193_MSMS
P1706_T3_01_002_1_B,P1706_128,CCE_P1706_194,CCE_P1706_194_MSMS
P1706_T3_06_100_6_C,P1706_129,CCE_P1706_195,CCE_P1706_195_MSMS
P1706_T3_06_075_5_C,P1706_130,CCE_P1706_196,CCE_P1706_196_MSMS
P1706_T3_06_040_4_C,P1706_131,CCE_P1706_197,CCE_P1706_197_MSMS
P1706_T3_06_030_3_C,P1706_132,CCE_P1706_198,CCE_P1706_198_MSMS
P1706_T3_06_015_2_C,P1706_133,CCE_P1706_199,CCE_P1706_199_MSMS
P1706_T3_06_002_1_C,P1706_134,CCE_P1706_200,CCE_P1706_200_MSMS
P1706_T3_11_100_6_D,P1706_135,CCE_P1706_201,CCE_P1706_201_MSMS
P1706_T3_11_075_5_D,P1706_136,CCE_P1706_202,CCE_P1706_202_MSMS
P1706_T3_11_035_4_D,P1706_137,CCE_P1706_203,CCE_P1706_203_MSMS
P1706_T3_11_025_3_D,P1706_138,CCE_P1706_204,CCE_P1706_204_MSMS
P1706_T3_11_015_2_D,P1706_139,CCE_P1706_205,CCE_P1706_205_MSMS
P1706_T3_11_002_1_D,P1706_140,CCE_P1706_206,CCE_P1706_206_MSMS
P1706_C4_1_090_6_C,P1706_141,CCE_P1706_207,CCE_P1706_207_MSMS
P1706_C4_1_090_6_C2,P1706_141,CCE_P1706_208,CCE_P1706_208_MSMS
