rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
27	C25H42NO7P	[M + H]+	C25H42NO7P	3084.9087758643027	3084.9087758643027	0.0	42	0.9594837392068662	0.21231580839613157	0.4968831552129064	-0.5575688109577058	LPE(20:5)	500.27689	580.6698942650236	4777_CCE1706_MZmine3_SIRIUS_1_34241
28	C21H43NO3	[M + H]+	C21H43NO3	3027.0805326838545	3020.7960234139546	6.2845092698996785	4	0.8377862595419848	0.31791934962582696	0.7487199925351753	0.3117043189884682	Cer(d11:0_10:0)	358.33168	371.11676710657775	2697_CCE1706_MZmine3_SIRIUS_1_20839
29	C24H42O5	[M + H3N + H]+	C24H45NO5	3024.8897223837425	3024.8897223837425	0.0	12	0.9999999999999998	0.3786196048385949	0.39298264805384253	-0.36979692562504396	DG(13:2_8:0)	428.33689	651.804436147213	5956_CCE1706_MZmine3_SIRIUS_1_39252
30	C24H52NO6P	[M + H]+	C24H52NO6P	3012.3071407495418	3009.0032365805378	3.3039041690040154	5	1.0	0.0913666657196347	0.41766723043526083	-0.5130841577655755	PC 16:0	482.36025	621.3536998378875	5422_CCE1706_MZmine3_SIRIUS_1_37308
31	C21H44NO7P	[M + Na]+	C21H44NO7P	3011.5569521439434	3011.5569521439434	0.0	4	0.8668280871670703	-0.017965843649575895	0.3084405592135434	-0.07328834022239104	LPE(16:0)	476.27473	610.0622463226318	5237_CCE1706_MZmine3_SIRIUS_1_36358
32	C29H48NO7P	[M + H]+	C29H48NO7P	3010.3613646920194	3010.3613646920194	0.0	5	1.0000000000000002	0.0913666657196347	0.4291218039565672	-1.0358278707922106	PC 21:6	554.32354	589.9762939990615	4941_CCE1706_MZmine3_SIRIUS_1_34990
33	C22H48NO6P	[M + H]+	C22H48NO6P	3009.2704641845007	3009.2704641845007	0.0	5	1.0	0.4291218039565672	0.44315482956696745	-0.4132143538167974	PC 14:0	454.32901	587.3777221958153	4906_CCE1706_MZmine3_SIRIUS_1_34820
34	C30H52NO7P	[M + H]+	C30H52NO7P	3006.314310490987	3006.314310490987	0.0	5	0.9821565912936472	0.7993032995893903	0.7993032995893903	0.7633656760586947	PC 22:5	570.35585	607.7651414205758	5148_CCE1706_MZmine3_SIRIUS_1_35929
35	C27H44NO7P	[M + H]+	C27H44NO7P	2049.066871043948	2041.458378125637	7.608492918311152	23	0.9883583511191862	1.496317520817219	1.496317520817219	-0.6829680284519102	LPE(22:6)	526.29246	595.3393797539153	4995_CCE1706_MZmine3_SIRIUS_1_35241
36	C25H46O5	[M + H3N + H]+	C25H49NO5	2025.9681577899403	2025.9681577899403	0.0	6	1.0	0.867683506472261	0.867683506472261	0.24600107219349424	DG(16:0_6:1)	444.36846	663.2920180773363	6085_CCE1706_MZmine3_SIRIUS_1_39647
37	C23H41NO3	[M + O + H]+	C23H41NO4	2018.3776491638005	2014.3988375361928	3.9788116276077825	6	1.0	1.0345510818773662	1.0345510818773662	0.9094896773811376	Cer(d10:2_13:1)	396.31120	643.788013458252	5822_CCE1706_MZmine3_SIRIUS_1_38769
38	C20H29NO3	[M + O + H]+	C20H29NO4	2016.510301745303	2016.510301745303	0.0	6	0.9999999999999999	0.5117769326035072	0.7355864766119603	0.09269239801517724	Cer(d8:1_12:5)	348.21697	428.4074857056123	3243_CCE1706_MZmine3_SIRIUS_1_25637
39	C20H42NO7P	[M + H]+	C20H42NO7P	2013.9724092426563	2010.2979332654559	3.6744759772004856	3	1.0	1.2837795546031159	1.2837795546031159	0.14508429405092393	PC 12:0	440.27723	526.4690208435059	4160_CCE1706_MZmine3_SIRIUS_1_31602
39	C20H42NO7P	[M + H]+	C20H42NO7P	2013.2301649656592	2006.8069737058368	6.423191259822388	4	1.0	0.9723828224689509	0.9723828224689509	0.047910295358827584	PC 12:0	440.27719	511.2899172306061	3980_CCE1706_MZmine3_SIRIUS_1_30859
40	C23H48NO7P	[M + H]+	C23H48NO7P	2011.4132138772577	2011.4132138772577	0.0	4	0.9314580737048247	0.26024423483810094	0.5420982229014584	-0.6227399285177743	PC 15:0	482.32382	595.2670116351344	5029_CCE1706_MZmine3_SIRIUS_1_35402
41	C25H52NO7P	[M + H]+	C25H52NO7P	2011.0718262820483	2007.113810601521	3.958015680527227	3	1.0	0.26024423483810094	0.26024423483810094	0.024339677161532267	PC 17:0	510.35543	625.2844834327698	5486_CCE1706_MZmine3_SIRIUS_1_37588
